Name,Name,StarSystemName,PosX,PosY,SpectralType,Luminosity,SubType,Cluster,ClusterOverlay,ClusterConstellation
0,0.0,INVALID,0.0,0.0,None,,0.0,"(Id="""")",None,None
1,1.0,Terra,0.0,0.0,G,V,2.0,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
2,2.0,New Earth (Tau Ceti 2116-),-12.415,3.055,F,V,0.0,"(Id=""MWFactionAsset:RepairSystem_26"")",/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/SafezoneSection2/SafezoneCollision/Safezone7_Collision.Safezone7_Collision,/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/SafezoneSection2/Safezone7.Safezone7
3,3.0,Rigil Kentarus,-2.852,2.54,G,V,8.0,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
4,4.0,Pike IV,20.153,39.24,K,IV,9.0,"(Id="""")",None,None
5,5.0,Rochelle,-113.791,-15.815,K,V,7.0,"(Id=""MWFactionAsset:StoryCluster1"")",None,None
6,6.0,Freedom,-64.275,107.73899999999999,M,V,5.0,"(Id="""")",None,None
7,7.0,Ryde,-45.356,91.72200000000001,F,V,5.0,"(Id="""")",None,None
8,8.0,Sevren,-44.468,313.247,K,III,0.0,"(Id="""")",None,None
9,9.0,Thorin,-23.526,7.961,G,V,7.0,"(Id=""MWFactionAsset:RepairSystem_27"")",None,None
10,10.0,Nirasaki,34.378,19.339000000000002,F,IV,3.0,"(Id="""")",None,None
11,11.0,Tall Trees,0.767,-66.743,M,IV,2.0,"(Id="""")",None,None
12,12.0,Zurich,20.153,-63.126000000000005,K,V,4.0,"(Id="""")",None,None
13,13.0,Denebola,-37.843,-1.621,K,V,0.0,"(Id="""")",None,None
14,14.0,Oliver,-31.803,-7.025,M,V,5.0,"(Id="""")",None,None
15,15.0,Procyon,-5.043,-11.064,F,V,5.0,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
16,16.0,Muphrid,-27.401999999999997,15.207,G,V,8.0,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
17,17.0,Northwind,34.118,-2.891,G,IV,2.0,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
18,18.0,Shiloh,-88.149,-4.9639999999999995,A,V,8.0,"(Id="""")",None,None
19,19.0,Castor,-40.43,-16.683,K,V,8.0,"(Id="""")",None,None
