,Name,StarSystemName,PosX,PosY,SpectralType,Luminosity,SubType,PrimarySlot
0,0.0,INVALID,0,0,None,,0,
1,1.0,Terra,0,0,G,V,2,3
2,3.0,Rigil Kentarus,-2.852,2.54,G,V,8,2
3,5.0,Rochelle,-113.791,-15.815,K,V,7,2
4,6.0,Freedom,-64.275,107.739,M,V,5,6
5,7.0,Ryde,-45.356,91.722,F,V,5,3
6,8.0,Sevren,-44.468,313.247,K,III,0,3
7,9.0,Thorin,-23.526,7.961,G,V,7,5
8,10.0,Nirasaki,34.378,19.339,F,IV,3,1
9,11.0,Tall Trees,0.767,-66.743,M,IV,2,8
10,12.0,Zurich,20.153,-63.126,K,V,4,5
11,13.0,Denebola,-37.843,-1.621,K,V,0,5
12,14.0,Oliver,-31.803,-7.025,M,V,5,1
13,15.0,Procyon,-5.043,-11.064,F,V,5,3
14,16.0,Muphrid,-27.402,15.207,G,V,8,2
15,17.0,Northwind,34.118,-2.891,G,IV,2,2
16,18.0,Shiloh,-88.149,-4.964,A,V,8,4
17,19.0,Castor,-40.43,-16.683,K,V,8,1
18,20.0,Saffel,25.586,11.846,K,VI,3,3
19,21.0,Marik,-79.621,-75.28,K,V,0,2
20,22.0,Quentin,46.002,12.361,K,IV,9,7
21,23.0,Tigress,74.697,-29.514,G,V,7,4
22,25.0,Nusakan,-34.772,43.29,K,V,0,3
23,26.0,Lipton,-33.864,6.414,G,V,5,3
24,27.0,Hall,-13.961,-44.251,K,V,0,3
25,28.0,New Home,7.229,-12.715,G,IV,4,1
26,29.0,Summer,-44.468,26.058,M,V,4,1
27,30.0,Epsilon Eridani,18.35,-21.248,K,IV,2,4
28,31.0,Nashira,47.655,33.587,K,IV,5,2
29,32.0,Ingress,49.622,-18.661,G,V,6,4
30,33.0,Ko,-18.105,43.9,G,IV,6,2
31,34.0,Cor Caroli,-62.301,15.463,A,VI,0,2
32,35.0,Caph,12.917,-0.564,G,V,5,3
33,36.0,Chesterton,115.619,-71.037,G,V,9,5
34,37.0,Kervil,34.119,45.961,K,V,3,2
35,38.0,Cartago,139.836,-10.127,F,V,3,13
36,40.0,Asta,4.129,25.543,K,VI,2,2
37,41.0,Epsilon Indi,29.203,-15.558,F,V,9,1
38,42.0,Ozawa,84.778,2.798,K,II,5,2
39,43.0,Milton,-64.371,2.798,G,V,3,2
40,44.0,Styx,25.844,25.543,F,IV,8,1
41,45.0,Outreach,-3.109,-34.688,K,V,9,2
