,Name,Primary,FactionChange
0,A Place,2,"['(Date=2235-04-30,Faction=IND)', '(Date=2362-05-07,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-12-01,Faction=ARDC)', '(Date=3067-04-24,Faction=LA)', '(Date=3130-08-04,Faction=CJF,LA)', '(Date=3135-01-15,Faction=CJF)']"
1,Aalzorg,2,"['(Date=2653-09-06,Faction=OA)', '(Date=2794-04-19,Faction=ABN)']"
2,Abadan,5,"['(Date=2168-01-31,Faction=TA)', '(Date=2241-06-16,Faction=MCM)', '(Date=2271-06-01,Faction=FWL)', '(Date=3014-10-15,Faction=FWLR)', '(Date=3014-11-03,Faction=FWL)', '(Date=3079-03-24,Faction=MSC)', '(Date=3082-07-01,Faction=ROS)', '(Date=3135-10-01,Faction=IND)', '(Date=3137-08-01,Faction=MiC)', '(Date=3139-07-01,Faction=CP)']"
3,Abagnar,3,"['(Date=2712-06-25,Faction=DC)']"
4,Abbadiyah,2,"['(Date=2423-01-19,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)']"
5,Abbeville,4,"['(Date=2380-07-28,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)']"
6,Abejorral,4,"['(Date=2632-08-27,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)']"
7,Aberystwyth,3,"['(Date=2645-10-14,Faction=RWR)', '(Date=2775-01-12,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)']"
8,Abiy Adi,3,"['(Date=2600-12-07,Faction=DC)', '(Date=2750-01-21,Faction=DC)']"
9,Able's Glory,4,"['(Date=3130-12-03,Faction=RIM)']"
10,Aboukir,1,"['(Date=2663-12-03,Faction=RWR)', '(Date=2779-06-12,Faction=LA)', '(Date=2868-02-04,Faction=ABN)']"
11,Abramkovo,2,"['(Date=2645-11-16,Faction=LA)', '(Date=2750-10-25,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)']"
12,Abruzzi,1,"['(Date=2650-06-11,Faction=CC)', '(Date=2864-04-03,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)']"
13,Abushiri,2,"['(Date=2660-03-28,Faction=RWR)', '(Date=2779-02-10,Faction=LA)', '(Date=2870-06-12,Faction=ABN)']"
14,Acala,2,"['(Date=2302-01-11,Faction=IND)', '(Date=2350-05-13,Faction=FS)', '(Date=2571-10-16,Faction=CC)', '(Date=2864-05-24,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)']"
15,Acamar,8,"['(Date=2240-03-13,Faction=IND)', '(Date=2320-09-18,Faction=TH)', '(Date=2767-07-24,Faction=RWR)', '(Date=2779-06-11,Faction=TH)', '(Date=2790-11-23,Faction=CC)', '(Date=3029-09-13,Faction=TFR)', '(Date=3032-11-28,Faction=FC)', '(Date=3057-11-01,Faction=CM)', '(Date=3058-02-01,Faction=MERC,CM)', '(Date=3058-08-01,Faction=PIR)', '(Date=3061-02-09,Faction=MERC,PIR)', '(Date=3061-08-31,Faction=CM)', '(Date=3065-12-01,Faction=FS)', '(Date=3068-08-01,Faction=WOB)', '(Date=3078-01-15,Faction=Stone,WOB)', '(Date=3078-01-05,Faction=Stone)', '(Date=3081-12-07,Faction=ROS)', '(Date=3135-10-01,Faction=IND)', '(Date=3145-03-14,Faction=CC)']"
16,Accrington,1,"['(Date=2169-04-26,Faction=TA)', '(Date=2242-03-28,Faction=IND)', '(Date=2299-02-10,Faction=FoS)', '(Date=2341-05-02,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)', '(Date=3140-09-17,Faction=CJF)', '(Date=3145-11-03,Faction=RD)']"
17,Achernar,2,"['(Date=2242-06-16,Faction=IND)', '(Date=2320-12-06,Faction=TH)', '(Date=2767-04-06,Faction=RWR)', '(Date=2779-05-08,Faction=TH)', '(Date=2790-07-30,Faction=CC)', '(Date=3030-11-20,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)', '(Date=3069-09-01,Faction=WOB)', '(Date=3077-06-11,Faction=Stone,WOB)', '(Date=3077-06-16,Faction=Stone)', '(Date=3081-04-30,Faction=ROS)', '(Date=3135-10-01,Faction=IND)', '(Date=3145-08-04,Faction=CC)']"
18,Achilles,2,"['(Date=2659-11-25,Faction=CC)', '(Date=3000-12-30,Faction=ABN)']"
19,Achnoly,1,"['(Date=2645-02-14,Faction=OA)', '(Date=2861-01-08,Faction=ABN)']"
20,Achton,3,"['(Date=2635-10-08,Faction=OA)', '(Date=3000-11-12,Faction=ABN)']"
21,Acoma,4,"['(Date=2736-02-28,Faction=FS)', '(Date=2807-03-25,Faction=ABN)']"
22,Aconcagua,2,"['(Date=2269-11-17,Faction=IND)', '(Date=2355-12-21,Faction=FWL)', '(Date=3014-03-22,Faction=FWLR)', '(Date=3015-03-15,Faction=FWL)', '(Date=3081-11-30,Faction=IND)', '(Date=3145-05-01,Faction=FWL)']"
23,Acrux,3,"['(Date=2698-04-30,Faction=FWL)', '(Date=2821-05-01,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)']"
24,Acubens,1,"['(Date=2224-12-12,Faction=IND)', '(Date=2280-02-08,Faction=FWL)', '(Date=3072-02-01,Faction=WOB)', '(Date=3077-01-10,Faction=Stone,WOB)', '(Date=3077-01-12,Faction=Stone)', '(Date=3081-02-08,Faction=ROS)', '(Date=3135-10-01,Faction=IND)', '(Date=3137-10-01,Faction=CvW)']"
25,Ad Duwayd,1,"['(Date=2395-11-21,Faction=DC)', '(Date=3077-12-19,Faction=DC,REB)']"
26,Addasar,1,"['(Date=2675-01-11,Faction=MOC)']"
27,Addhara,2,"['(Date=2900-12-31,Faction=MH)']"
28,Addicks,4,"['(Date=2251-06-09,Faction=IND)', '(Date=2315-12-06,Faction=TH)', '(Date=2767-03-01,Faction=RWR)', '(Date=2779-05-02,Faction=TH)', '(Date=2786-02-19,Faction=FS)', '(Date=2821-08-10,Faction=DC)', '(Date=2864-02-11,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)', '(Date=3068-05-01,Faction=WOB)', '(Date=3077-05-12,Faction=Stone,WOB)', '(Date=3077-05-20,Faction=Stone)', '(Date=3081-03-13,Faction=ROS)', '(Date=3135-10-01,Faction=IND)', '(Date=3145-08-23,Faction=DC)']"
29,Adelaide,1,"['(Date=2550-09-25,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)']"
30,Adelson,2,"['(Date=2719-08-06,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)']"
31,Adhafera,2,"['(Date=2662-12-06,Faction=FWL)', '(Date=3079-10-17,Faction=SC)', '(Date=3082-03-14,Faction=ROS)', '(Date=3135-10-01,Faction=IND)', '(Date=3145-03-01,Faction=CWE)', '(Date=2662-08-23,Faction=FWL)', '(Date=3079-10-31,Faction=SC)', '(Date=3082-08-19,Faction=ROS)', '(Date=3135-10-01,Faction=IND)', '(Date=3145-04-24,Faction=CWE)']"
32,Adhara (Trip 3040+),3,"['(Date=2604-05-14,Faction=MOC)']"
33,Adherlwin,3,"['(Date=2540-02-09,Faction=MOC)', '(Date=2583-04-20,Faction=MOC,SL)', '(Date=2583-04-27,Faction=SL)', '(Date=2597-03-21,Faction=MOC)']"
34,Adler,2,"['(Date=2719-11-25,Faction=CC)', '(Date=2831-01-02,Faction=ABN)']"
35,Adrar,2,"['(Date=2672-05-17,Faction=CC)', '(Date=2837-03-28,Faction=ABN)']"
36,Adrian,1,"['(Date=2355-08-18,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)', '(Date=3145-09-22,Faction=DC)']"
37,Aea,1,"['(Date=2735-02-30,Faction=SL)', '(Date=2781-08-12,Faction=PIND)', '(Date=3021-01-01,Faction=ARC)', '(Date=3022-01-01,Faction=ARD)', '(Date=3026-01-01,Faction=ARC)', '(Date=3030-05-01,Faction=TC)', '(Date=3075-09-15,Faction=ABN)']"
38,Aer (Finnalon 2822+),4,"['(Date=2724-12-22,Faction=CC)', '(Date=2841-09-23,Faction=ABN)']"
39,Afarsin,1,"['(Date=2540-02-13,Faction=MOC)', '(Date=2583-04-03,Faction=MOC,SL)', '(Date=2584-04-06,Faction=SL)', '(Date=2597-03-21,Faction=MOC)']"
40,Afleir,1,"['(Date=2327-10-11,Faction=TH)', '(Date=2767-02-28,Faction=RWR)', '(Date=2779-07-29,Faction=TH)', '(Date=2785-11-17,Faction=LA)', '(Date=2786-03-31,Faction=LA)', '(Date=2860-03-14,Faction=ABN)']"
41,Agematsu,2,"['(Date=2297-12-13,Faction=IND)', '(Date=2321-04-15,Faction=DC)']"
42,Aggstein,1,"['(Date=2647-07-09,Faction=FS)', '(Date=2862-05-19,Faction=ABN)']"
43,Agliana,2,"['(Date=2380-07-04,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)']"
