,StarSystemName,PosX,PosY,SpectralType,Luminosity,SubType,PrimarySlot
0,INVALID,0,0,None,,0,
1,A Place,-123.764,272.182,G,V,5,2
2,Aalzorg,583.881,256.931,G,V,9,2
3,Abadan,-70.319,-95.949,G,V,2,5
4,Abagnar,380.231,314.823,G,V,9,3
5,Abbadiyah,-317.967,246.551,G,V,2,2
6,Abbeville,605.903,-39.852,F,V,2,4
7,Abejorral,-299.341,127.388,F,V,2,4
8,Aberystwyth,-430.967,58.633,G,V,2,3
9,Abiy Adi,349.466,314.567,F,V,6,3
10,Able's Glory,-539.23,124.7,F,V,5,4
11,Aboukir,-419.964,287.637,K,V,6,1
12,Abramkovo,-330.86,-28.739,G,V,6,2
13,Abruzzi,149.392,-304.327,K,V,8,1
14,Abushiri,-267.585,326.475,K,V,2,2
15,Acala,134.156,-124.34,F,V,3,2
16,Acamar,39.543,-38.565,K,V,7,8
17,Accrington,-10.088,144.968,K,V,4,1
18,Achernar,77.285,-32.361,F,V,8,2
19,Achilles,44.858,-132.111,K,V,2,2
20,Achnoly,638.819,199.142,K,V,5,1
21,Achton,632.323,190.916,F,V,1,3
22,Acoma,224.416,-62.259,F,V,1,4
23,Aconcagua,-275.03,-189.625,K,V,0,2
24,Acrux,-352.026,40.745,F,V,1,3
25,Acubens,-52.221,-50.716,M,V,2,1
26,Ad Duwayd,361.884,374.511,K,V,8,1
27,Addasar,-29.439,-516.52,M,V,4,1
28,Addhara,-443.661,-293.417,G,V,5,2
29,Addicks,71.439,-0.696,G,V,2,4
30,Adelaide,-250.471,315.316,M,V,7,1
31,Adelson,472.766,-245.354,G,V,9,2
32,Adhafera,-105.278,-51.227,G,V,3,2
33,Adhara (Trip 3040+),-123.314,-468.96,G,V,4,3
34,Adherlwin,-134.304,-418.682,F,V,9,3
35,Adler,155.257,-210.669,G,V,5,2
36,Adrar,-4.382,-409.233,G,V,6,2
37,Adrian,449.254,28.13,M,V,3,1
38,Aea,156.052,-426.165,K,V,7,1
39,Aer (Finnalon 2822+),55.145,-187.635,F,V,7,4
40,Afarsin,-216.314,-369.872,K,V,4,1
41,Afleir,-51.281,-2.977,M,V,6,1
42,Agematsu,253.838,185.545,F,V,9,2
43,Aggstein,219.606,-203.11,M,V,4,1
44,Agliana,389.805,-289.562,G,V,6,2
45,Agmond (Bornal 3130+),395.843,-140.358,M,V,8,1
46,Aigle,-234.767,-19.069,M,V,6,1
47,Aiguebelle,-384.879,101.539,G,V,0,3
48,Aitutaki,-164.636,-166.561,K,II,8,3
49,Aix-la-Chapelle,76.599,162.627,A,V,2,4
50,Akfata,-381.799,176.248,M,V,9,1
51,Al Hillah,-25.374,178.71,F,V,3,3
52,Al Jafr,-412.829,12.108,F,V,8,4
53,Al Jubaylah,-183.766,-281.832,K,V,8,1
54,Al Na'ir,60.097,31.239,A,III,9,5
55,Alarion,-319.706,138.602,G,V,0,3
56,Albalii,71.079,78.532,F,IV,0,2
57,Albaracht,492.596,-458.249,G,V,9,2
58,Albert Falls,-259.83,-132.288,K,V,3,1
59,Albiero,150.446,356.782,M,IV,2,3
60,Albion (Clan),-50.167,1792.145,K,V,1,2
61,Albion (LC),-284.426,143.518,G,V,6,3
62,Alchiba,-67.732,1.767,F,VI,0,3
63,Alcor,-74.708,28.904,A,V,5,3
64,Alcyone,129.758,-197.583,M,V,2,1
65,Aldebaran,24.813,-64.414,K,III,5,5
66,Aldertaine,44.714,-191.043,K,V,5,1
67,Aldrecht,150.833,88.192,M,V,4,1
68,Alegro,429.841,144.618,G,V,0,4
69,Alekseyevka,-403.504,183.741,K,V,3,1
70,Alexandria (CC),110.827,-356.104,G,V,0,3
71,Alexandria (LC),-57.639,115.993,M,V,4,3
