---,Row Name,Name,StarSystemName,PosX,PosY,SpectralType,Luminosity,SubType,PrimarySlot,Cluster,ClusterOverlay,ClusterConstellation
0,0,0,INVALID,0,0,None,,0,,"(Id="""")",None,None
1,1,1,Terra,0,0,G,V,2,3,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
2,2,2,New Earth (Tau Ceti 2116-),-12.415,3.055,F,V,0,4,"(Id=""MWFactionAsset:RepairSystem_26"")",/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/SafezoneSection2/SafezoneCollision/Safezone7_Collision.Safezone7_Collision,/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/SafezoneSection2/Safezone7.Safezone7
3,3,3,Rigil Kentarus,-2.852,2.54,G,V,8,2,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
4,4,4,Pike IV,20.153,39.24,K,IV,9,4,"(Id="""")",None,None
5,5,5,Rochelle,-113.791,-15.815,K,V,7,2,"(Id=""MWFactionAsset:StoryCluster1"")",None,None
6,6,6,Freedom,-64.275,107.739,M,V,5,6,"(Id="""")",None,None
7,7,7,Ryde,-45.356,91.722,F,V,5,3,"(Id="""")",None,None
8,8,8,Sevren,-44.468,313.247,K,III,0,3,"(Id="""")",None,None
9,9,9,Thorin,-23.526,7.961,G,V,7,5,"(Id=""MWFactionAsset:RepairSystem_27"")",None,None
10,10,10,Nirasaki,34.378,19.339,F,IV,3,1,"(Id="""")",None,None
11,11,11,Tall Trees,0.767,-66.743,M,IV,2,8,"(Id="""")",None,None
12,12,12,Zurich,20.153,-63.126,K,V,4,5,"(Id="""")",None,None
13,13,13,Denebola,-37.843,-1.621,K,V,0,5,"(Id="""")",None,None
14,14,14,Oliver,-31.803,-7.025,M,V,5,1,"(Id="""")",None,None
15,15,15,Procyon,-5.043,-11.064,F,V,5,3,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
16,16,16,Muphrid,-27.402,15.207,G,V,8,2,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
17,17,17,Northwind,34.118,-2.891,G,IV,2,2,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
18,18,18,Shiloh,-88.149,-4.964,A,V,8,4,"(Id="""")",None,None
